,REF_DATE,GEO,Sex,Age group,Income source,Statistics,SCALAR_FACTOR,VALUE
628204,1992,"Québec, Quebec",Both sexes,16 years and over,Total income,Median income (excluding zeros),units,25100.0
628279,1992,"Québec, Quebec",Males,16 years and over,Total income,Median income (excluding zeros),units,37200.0
628354,1992,"Québec, Quebec",Females,16 years and over,Total income,Median income (excluding zeros),units,20200.0
628429,1992,"Québec, Quebec",Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,10100.0
628504,1992,"Québec, Quebec",Males,16 to 24 years,Total income,Median income (excluding zeros),units,10100.0
628579,1992,"Québec, Quebec",Females,16 to 24 years,Total income,Median income (excluding zeros),units,9500.0
628654,1992,"Québec, Quebec",Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,38100.0
628729,1992,"Québec, Quebec",Males,25 to 54 years,Total income,Median income (excluding zeros),units,48500.0
628804,1992,"Québec, Quebec",Females,25 to 54 years,Total income,Median income (excluding zeros),units,29700.0
628879,1992,"Québec, Quebec",Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,31600.0
628954,1992,"Québec, Quebec",Males,25 to 34 years,Total income,Median income (excluding zeros),units,39700.0
629029,1992,"Québec, Quebec",Females,25 to 34 years,Total income,Median income (excluding zeros),units,26300.0
629104,1992,"Québec, Quebec",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,43400.0
629179,1992,"Québec, Quebec",Males,35 to 44 years,Total income,Median income (excluding zeros),units,58300.0
629254,1992,"Québec, Quebec",Females,35 to 44 years,Total income,Median income (excluding zeros),units,32400.0
629329,1992,"Québec, Quebec",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,43700.0
629404,1992,"Québec, Quebec",Males,45 to 54 years,Total income,Median income (excluding zeros),units,56500.0
629479,1992,"Québec, Quebec",Females,45 to 54 years,Total income,Median income (excluding zeros),units,25100.0
629554,1992,"Québec, Quebec",Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,19600.0
629629,1992,"Québec, Quebec",Males,55 to 64 years,Total income,Median income (excluding zeros),units,27900.0
629704,1992,"Québec, Quebec",Females,55 to 64 years,Total income,Median income (excluding zeros),units,17300.0
629779,1992,"Québec, Quebec",Both sexes,65 years and over,Total income,Median income (excluding zeros),units,21300.0
629854,1992,"Québec, Quebec",Males,65 years and over,Total income,Median income (excluding zeros),units,24200.0
629929,1992,"Québec, Quebec",Females,65 years and over,Total income,Median income (excluding zeros),units,18700.0
630004,1992,"Montréal, Quebec",Both sexes,16 years and over,Total income,Median income (excluding zeros),units,29200.0
630079,1992,"Montréal, Quebec",Males,16 years and over,Total income,Median income (excluding zeros),units,38100.0
630154,1992,"Montréal, Quebec",Females,16 years and over,Total income,Median income (excluding zeros),units,22800.0
630229,1992,"Montréal, Quebec",Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,9900.0
630304,1992,"Montréal, Quebec",Males,16 to 24 years,Total income,Median income (excluding zeros),units,8700.0
630379,1992,"Montréal, Quebec",Females,16 to 24 years,Total income,Median income (excluding zeros),units,10100.0
630454,1992,"Montréal, Quebec",Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,39100.0
630529,1992,"Montréal, Quebec",Males,25 to 54 years,Total income,Median income (excluding zeros),units,47600.0
630604,1992,"Montréal, Quebec",Females,25 to 54 years,Total income,Median income (excluding zeros),units,31800.0
630679,1992,"Montréal, Quebec",Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,34900.0
630754,1992,"Montréal, Quebec",Males,25 to 34 years,Total income,Median income (excluding zeros),units,40200.0
630829,1992,"Montréal, Quebec",Females,25 to 34 years,Total income,Median income (excluding zeros),units,29400.0
630904,1992,"Montréal, Quebec",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,43500.0
630979,1992,"Montréal, Quebec",Males,35 to 44 years,Total income,Median income (excluding zeros),units,54200.0
631054,1992,"Montréal, Quebec",Females,35 to 44 years,Total income,Median income (excluding zeros),units,35400.0
631129,1992,"Montréal, Quebec",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,40500.0
631204,1992,"Montréal, Quebec",Males,45 to 54 years,Total income,Median income (excluding zeros),units,51300.0
631279,1992,"Montréal, Quebec",Females,45 to 54 years,Total income,Median income (excluding zeros),units,28900.0
631354,1992,"Montréal, Quebec",Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,31900.0
631429,1992,"Montréal, Quebec",Males,55 to 64 years,Total income,Median income (excluding zeros),units,40100.0
631504,1992,"Montréal, Quebec",Females,55 to 64 years,Total income,Median income (excluding zeros),units,21600.0
631579,1992,"Montréal, Quebec",Both sexes,65 years and over,Total income,Median income (excluding zeros),units,21200.0
631654,1992,"Montréal, Quebec",Males,65 years and over,Total income,Median income (excluding zeros),units,26500.0
631729,1992,"Montréal, Quebec",Females,65 years and over,Total income,Median income (excluding zeros),units,19300.0
631804,1992,"Ottawa-Gatineau, Ontario/Quebec",Both sexes,16 years and over,Total income,Median income (excluding zeros),units,37700.0
631879,1992,"Ottawa-Gatineau, Ontario/Quebec",Males,16 years and over,Total income,Median income (excluding zeros),units,47600.0
631954,1992,"Ottawa-Gatineau, Ontario/Quebec",Females,16 years and over,Total income,Median income (excluding zeros),units,29900.0
632029,1992,"Ottawa-Gatineau, Ontario/Quebec",Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,13800.0
632104,1992,"Ottawa-Gatineau, Ontario/Quebec",Males,16 to 24 years,Total income,Median income (excluding zeros),units,15000.0
632179,1992,"Ottawa-Gatineau, Ontario/Quebec",Females,16 to 24 years,Total income,Median income (excluding zeros),units,11100.0
632254,1992,"Ottawa-Gatineau, Ontario/Quebec",Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,47600.0
632329,1992,"Ottawa-Gatineau, Ontario/Quebec",Males,25 to 54 years,Total income,Median income (excluding zeros),units,54000.0
632404,1992,"Ottawa-Gatineau, Ontario/Quebec",Females,25 to 54 years,Total income,Median income (excluding zeros),units,42700.0
632479,1992,"Ottawa-Gatineau, Ontario/Quebec",Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,42500.0
632554,1992,"Ottawa-Gatineau, Ontario/Quebec",Males,25 to 34 years,Total income,Median income (excluding zeros),units,47700.0
632629,1992,"Ottawa-Gatineau, Ontario/Quebec",Females,25 to 34 years,Total income,Median income (excluding zeros),units,39500.0
632704,1992,"Ottawa-Gatineau, Ontario/Quebec",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,52100.0
632779,1992,"Ottawa-Gatineau, Ontario/Quebec",Males,35 to 44 years,Total income,Median income (excluding zeros),units,54900.0
632854,1992,"Ottawa-Gatineau, Ontario/Quebec",Females,35 to 44 years,Total income,Median income (excluding zeros),units,47400.0
632929,1992,"Ottawa-Gatineau, Ontario/Quebec",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,50800.0
633004,1992,"Ottawa-Gatineau, Ontario/Quebec",Males,45 to 54 years,Total income,Median income (excluding zeros),units,68600.0
633079,1992,"Ottawa-Gatineau, Ontario/Quebec",Females,45 to 54 years,Total income,Median income (excluding zeros),units,41200.0
633154,1992,"Ottawa-Gatineau, Ontario/Quebec",Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,39100.0
633229,1992,"Ottawa-Gatineau, Ontario/Quebec",Males,55 to 64 years,Total income,Median income (excluding zeros),units,50700.0
633304,1992,"Ottawa-Gatineau, Ontario/Quebec",Females,55 to 64 years,Total income,Median income (excluding zeros),units,21600.0
633379,1992,"Ottawa-Gatineau, Ontario/Quebec",Both sexes,65 years and over,Total income,Median income (excluding zeros),units,26900.0
633454,1992,"Ottawa-Gatineau, Ontario/Quebec",Males,65 years and over,Total income,Median income (excluding zeros),units,38400.0
633529,1992,"Ottawa-Gatineau, Ontario/Quebec",Females,65 years and over,Total income,Median income (excluding zeros),units,23800.0
633604,1992,"Toronto, Ontario",Both sexes,16 years and over,Total income,Median income (excluding zeros),units,34600.0
633679,1992,"Toronto, Ontario",Males,16 years and over,Total income,Median income (excluding zeros),units,42600.0
633754,1992,"Toronto, Ontario",Females,16 years and over,Total income,Median income (excluding zeros),units,25600.0
633829,1992,"Toronto, Ontario",Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,9000.0
633904,1992,"Toronto, Ontario",Males,16 to 24 years,Total income,Median income (excluding zeros),units,9000.0
633979,1992,"Toronto, Ontario",Females,16 to 24 years,Total income,Median income (excluding zeros),units,9000.0
634054,1992,"Toronto, Ontario",Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,46100.0
634129,1992,"Toronto, Ontario",Males,25 to 54 years,Total income,Median income (excluding zeros),units,54000.0
634204,1992,"Toronto, Ontario",Females,25 to 54 years,Total income,Median income (excluding zeros),units,40600.0
634279,1992,"Toronto, Ontario",Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,42900.0
634354,1992,"Toronto, Ontario",Males,25 to 34 years,Total income,Median income (excluding zeros),units,44800.0
634429,1992,"Toronto, Ontario",Females,25 to 34 years,Total income,Median income (excluding zeros),units,41500.0
634504,1992,"Toronto, Ontario",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,49600.0
634579,1992,"Toronto, Ontario",Males,35 to 44 years,Total income,Median income (excluding zeros),units,58500.0
634654,1992,"Toronto, Ontario",Females,35 to 44 years,Total income,Median income (excluding zeros),units,39700.0
634729,1992,"Toronto, Ontario",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,52100.0
634804,1992,"Toronto, Ontario",Males,45 to 54 years,Total income,Median income (excluding zeros),units,58800.0
634879,1992,"Toronto, Ontario",Females,45 to 54 years,Total income,Median income (excluding zeros),units,41800.0
634954,1992,"Toronto, Ontario",Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,31900.0
635029,1992,"Toronto, Ontario",Males,55 to 64 years,Total income,Median income (excluding zeros),units,55600.0
635104,1992,"Toronto, Ontario",Females,55 to 64 years,Total income,Median income (excluding zeros),units,17800.0
635179,1992,"Toronto, Ontario",Both sexes,65 years and over,Total income,Median income (excluding zeros),units,23900.0
635254,1992,"Toronto, Ontario",Males,65 years and over,Total income,Median income (excluding zeros),units,35100.0
635329,1992,"Toronto, Ontario",Females,65 years and over,Total income,Median income (excluding zeros),units,20500.0
635404,1992,"Winnipeg, Manitoba",Both sexes,16 years and over,Total income,Median income (excluding zeros),units,28800.0
635479,1992,"Winnipeg, Manitoba",Males,16 years and over,Total income,Median income (excluding zeros),units,38300.0
635554,1992,"Winnipeg, Manitoba",Females,16 years and over,Total income,Median income (excluding zeros),units,23200.0
635629,1992,"Winnipeg, Manitoba",Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,11900.0
635704,1992,"Winnipeg, Manitoba",Males,16 to 24 years,Total income,Median income (excluding zeros),units,11700.0
635779,1992,"Winnipeg, Manitoba",Females,16 to 24 years,Total income,Median income (excluding zeros),units,11900.0
635854,1992,"Winnipeg, Manitoba",Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,39700.0
635929,1992,"Winnipeg, Manitoba",Males,25 to 54 years,Total income,Median income (excluding zeros),units,48300.0
636004,1992,"Winnipeg, Manitoba",Females,25 to 54 years,Total income,Median income (excluding zeros),units,31400.0
636079,1992,"Winnipeg, Manitoba",Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,32300.0
636154,1992,"Winnipeg, Manitoba",Males,25 to 34 years,Total income,Median income (excluding zeros),units,36100.0
636229,1992,"Winnipeg, Manitoba",Females,25 to 34 years,Total income,Median income (excluding zeros),units,29300.0
636304,1992,"Winnipeg, Manitoba",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,42300.0
636379,1992,"Winnipeg, Manitoba",Males,35 to 44 years,Total income,Median income (excluding zeros),units,51800.0
636454,1992,"Winnipeg, Manitoba",Females,35 to 44 years,Total income,Median income (excluding zeros),units,34200.0
636529,1992,"Winnipeg, Manitoba",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,44500.0
636604,1992,"Winnipeg, Manitoba",Males,45 to 54 years,Total income,Median income (excluding zeros),units,60900.0
636679,1992,"Winnipeg, Manitoba",Females,45 to 54 years,Total income,Median income (excluding zeros),units,29800.0
636754,1992,"Winnipeg, Manitoba",Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,35800.0
636829,1992,"Winnipeg, Manitoba",Males,55 to 64 years,Total income,Median income (excluding zeros),units,53200.0
636904,1992,"Winnipeg, Manitoba",Females,55 to 64 years,Total income,Median income (excluding zeros),units,18500.0
636979,1992,"Winnipeg, Manitoba",Both sexes,65 years and over,Total income,Median income (excluding zeros),units,22200.0
637054,1992,"Winnipeg, Manitoba",Males,65 years and over,Total income,Median income (excluding zeros),units,26100.0
637129,1992,"Winnipeg, Manitoba",Females,65 years and over,Total income,Median income (excluding zeros),units,20500.0
637204,1992,"Calgary, Alberta",Both sexes,16 years and over,Total income,Median income (excluding zeros),units,31400.0
637279,1992,"Calgary, Alberta",Males,16 years and over,Total income,Median income (excluding zeros),units,39800.0
637354,1992,"Calgary, Alberta",Females,16 years and over,Total income,Median income (excluding zeros),units,24400.0
637429,1992,"Calgary, Alberta",Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,10300.0
637504,1992,"Calgary, Alberta",Males,16 to 24 years,Total income,Median income (excluding zeros),units,10600.0
637579,1992,"Calgary, Alberta",Females,16 to 24 years,Total income,Median income (excluding zeros),units,9500.0
637654,1992,"Calgary, Alberta",Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,41300.0
637729,1992,"Calgary, Alberta",Males,25 to 54 years,Total income,Median income (excluding zeros),units,52100.0
637804,1992,"Calgary, Alberta",Females,25 to 54 years,Total income,Median income (excluding zeros),units,32800.0
637879,1992,"Calgary, Alberta",Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,37000.0
637954,1992,"Calgary, Alberta",Males,25 to 34 years,Total income,Median income (excluding zeros),units,42800.0
638029,1992,"Calgary, Alberta",Females,25 to 34 years,Total income,Median income (excluding zeros),units,31400.0
638104,1992,"Calgary, Alberta",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,42000.0
638179,1992,"Calgary, Alberta",Males,35 to 44 years,Total income,Median income (excluding zeros),units,60300.0
638254,1992,"Calgary, Alberta",Females,35 to 44 years,Total income,Median income (excluding zeros),units,30800.0
638329,1992,"Calgary, Alberta",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,49900.0
638404,1992,"Calgary, Alberta",Males,45 to 54 years,Total income,Median income (excluding zeros),units,60300.0
638479,1992,"Calgary, Alberta",Females,45 to 54 years,Total income,Median income (excluding zeros),units,38100.0
638554,1992,"Calgary, Alberta",Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,33800.0
638629,1992,"Calgary, Alberta",Males,55 to 64 years,Total income,Median income (excluding zeros),units,43700.0
638704,1992,"Calgary, Alberta",Females,55 to 64 years,Total income,Median income (excluding zeros),units,29600.0
638779,1992,"Calgary, Alberta",Both sexes,65 years and over,Total income,Median income (excluding zeros),units,22600.0
638854,1992,"Calgary, Alberta",Males,65 years and over,Total income,Median income (excluding zeros),units,25700.0
638929,1992,"Calgary, Alberta",Females,65 years and over,Total income,Median income (excluding zeros),units,19100.0
639004,1992,"Edmonton, Alberta",Both sexes,16 years and over,Total income,Median income (excluding zeros),units,32100.0
639079,1992,"Edmonton, Alberta",Males,16 years and over,Total income,Median income (excluding zeros),units,41900.0
639154,1992,"Edmonton, Alberta",Females,16 years and over,Total income,Median income (excluding zeros),units,24300.0
639229,1992,"Edmonton, Alberta",Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,10600.0
639304,1992,"Edmonton, Alberta",Males,16 to 24 years,Total income,Median income (excluding zeros),units,10700.0
639379,1992,"Edmonton, Alberta",Females,16 to 24 years,Total income,Median income (excluding zeros),units,9800.0
639454,1992,"Edmonton, Alberta",Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,41800.0
639529,1992,"Edmonton, Alberta",Males,25 to 54 years,Total income,Median income (excluding zeros),units,50700.0
639604,1992,"Edmonton, Alberta",Females,25 to 54 years,Total income,Median income (excluding zeros),units,33800.0
639679,1992,"Edmonton, Alberta",Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,36500.0
639754,1992,"Edmonton, Alberta",Males,25 to 34 years,Total income,Median income (excluding zeros),units,42400.0
639829,1992,"Edmonton, Alberta",Females,25 to 34 years,Total income,Median income (excluding zeros),units,29900.0
639904,1992,"Edmonton, Alberta",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,46900.0
639979,1992,"Edmonton, Alberta",Males,35 to 44 years,Total income,Median income (excluding zeros),units,54600.0
640054,1992,"Edmonton, Alberta",Females,35 to 44 years,Total income,Median income (excluding zeros),units,38900.0
640129,1992,"Edmonton, Alberta",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,46500.0
640204,1992,"Edmonton, Alberta",Males,45 to 54 years,Total income,Median income (excluding zeros),units,60300.0
640279,1992,"Edmonton, Alberta",Females,45 to 54 years,Total income,Median income (excluding zeros),units,33400.0
640354,1992,"Edmonton, Alberta",Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,38200.0
640429,1992,"Edmonton, Alberta",Males,55 to 64 years,Total income,Median income (excluding zeros),units,51300.0
640504,1992,"Edmonton, Alberta",Females,55 to 64 years,Total income,Median income (excluding zeros),units,22200.0
640579,1992,"Edmonton, Alberta",Both sexes,65 years and over,Total income,Median income (excluding zeros),units,21700.0
640654,1992,"Edmonton, Alberta",Males,65 years and over,Total income,Median income (excluding zeros),units,26700.0
640729,1992,"Edmonton, Alberta",Females,65 years and over,Total income,Median income (excluding zeros),units,19100.0
640804,1992,"Vancouver, British Columbia",Both sexes,16 years and over,Total income,Median income (excluding zeros),units,32300.0
640879,1992,"Vancouver, British Columbia",Males,16 years and over,Total income,Median income (excluding zeros),units,41400.0
640954,1992,"Vancouver, British Columbia",Females,16 years and over,Total income,Median income (excluding zeros),units,23800.0
641029,1992,"Vancouver, British Columbia",Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,12400.0
641104,1992,"Vancouver, British Columbia",Males,16 to 24 years,Total income,Median income (excluding zeros),units,13700.0
641179,1992,"Vancouver, British Columbia",Females,16 to 24 years,Total income,Median income (excluding zeros),units,11600.0
641254,1992,"Vancouver, British Columbia",Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,42800.0
641329,1992,"Vancouver, British Columbia",Males,25 to 54 years,Total income,Median income (excluding zeros),units,49400.0
641404,1992,"Vancouver, British Columbia",Females,25 to 54 years,Total income,Median income (excluding zeros),units,32100.0
641479,1992,"Vancouver, British Columbia",Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,35600.0
641554,1992,"Vancouver, British Columbia",Males,25 to 34 years,Total income,Median income (excluding zeros),units,42800.0
641629,1992,"Vancouver, British Columbia",Females,25 to 34 years,Total income,Median income (excluding zeros),units,30800.0
641704,1992,"Vancouver, British Columbia",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,45500.0
641779,1992,"Vancouver, British Columbia",Males,35 to 44 years,Total income,Median income (excluding zeros),units,62600.0
641854,1992,"Vancouver, British Columbia",Females,35 to 44 years,Total income,Median income (excluding zeros),units,32000.0
641929,1992,"Vancouver, British Columbia",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,51100.0
642004,1992,"Vancouver, British Columbia",Males,45 to 54 years,Total income,Median income (excluding zeros),units,62900.0
642079,1992,"Vancouver, British Columbia",Females,45 to 54 years,Total income,Median income (excluding zeros),units,44500.0
642154,1992,"Vancouver, British Columbia",Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,32500.0
642229,1992,"Vancouver, British Columbia",Males,55 to 64 years,Total income,Median income (excluding zeros),units,43200.0
642304,1992,"Vancouver, British Columbia",Females,55 to 64 years,Total income,Median income (excluding zeros),units,18300.0
642379,1992,"Vancouver, British Columbia",Both sexes,65 years and over,Total income,Median income (excluding zeros),units,25500.0
642454,1992,"Vancouver, British Columbia",Males,65 years and over,Total income,Median income (excluding zeros),units,33100.0
642529,1992,"Vancouver, British Columbia",Females,65 years and over,Total income,Median income (excluding zeros),units,20900.0
642604,1993,Canada,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,28600.0
642679,1993,Canada,Males,16 years and over,Total income,Median income (excluding zeros),units,37800.0
642754,1993,Canada,Females,16 years and over,Total income,Median income (excluding zeros),units,22100.0
642829,1993,Canada,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,10400.0
642904,1993,Canada,Males,16 to 24 years,Total income,Median income (excluding zeros),units,11200.0
642979,1993,Canada,Females,16 to 24 years,Total income,Median income (excluding zeros),units,9700.0
643054,1993,Canada,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,38000.0
643129,1993,Canada,Males,25 to 54 years,Total income,Median income (excluding zeros),units,48000.0
643204,1993,Canada,Females,25 to 54 years,Total income,Median income (excluding zeros),units,29500.0
643279,1993,Canada,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,33600.0
643354,1993,Canada,Males,25 to 34 years,Total income,Median income (excluding zeros),units,40800.0
643429,1993,Canada,Females,25 to 34 years,Total income,Median income (excluding zeros),units,27600.0
643504,1993,Canada,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,41200.0
643579,1993,Canada,Males,35 to 44 years,Total income,Median income (excluding zeros),units,53000.0
643654,1993,Canada,Females,35 to 44 years,Total income,Median income (excluding zeros),units,31800.0
643729,1993,Canada,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,41400.0
643804,1993,Canada,Males,45 to 54 years,Total income,Median income (excluding zeros),units,55900.0
643879,1993,Canada,Females,45 to 54 years,Total income,Median income (excluding zeros),units,29300.0
643954,1993,Canada,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,29600.0
644029,1993,Canada,Males,55 to 64 years,Total income,Median income (excluding zeros),units,42700.0
644104,1993,Canada,Females,55 to 64 years,Total income,Median income (excluding zeros),units,17800.0
644179,1993,Canada,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,21900.0
644254,1993,Canada,Males,65 years and over,Total income,Median income (excluding zeros),units,28600.0
644329,1993,Canada,Females,65 years and over,Total income,Median income (excluding zeros),units,19000.0
644404,1993,Atlantic provinces,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,23400.0
644479,1993,Atlantic provinces,Males,16 years and over,Total income,Median income (excluding zeros),units,31600.0
644554,1993,Atlantic provinces,Females,16 years and over,Total income,Median income (excluding zeros),units,18100.0
644629,1993,Atlantic provinces,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,9200.0
644704,1993,Atlantic provinces,Males,16 to 24 years,Total income,Median income (excluding zeros),units,10000.0
644779,1993,Atlantic provinces,Females,16 to 24 years,Total income,Median income (excluding zeros),units,8600.0
644854,1993,Atlantic provinces,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,31600.0
644929,1993,Atlantic provinces,Males,25 to 54 years,Total income,Median income (excluding zeros),units,41100.0
645004,1993,Atlantic provinces,Females,25 to 54 years,Total income,Median income (excluding zeros),units,22800.0
645079,1993,Atlantic provinces,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,28500.0
645154,1993,Atlantic provinces,Males,25 to 34 years,Total income,Median income (excluding zeros),units,35100.0
645229,1993,Atlantic provinces,Females,25 to 34 years,Total income,Median income (excluding zeros),units,22600.0
645304,1993,Atlantic provinces,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,34500.0
645379,1993,Atlantic provinces,Males,35 to 44 years,Total income,Median income (excluding zeros),units,46000.0
645454,1993,Atlantic provinces,Females,35 to 44 years,Total income,Median income (excluding zeros),units,23700.0
645529,1993,Atlantic provinces,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,33500.0
645604,1993,Atlantic provinces,Males,45 to 54 years,Total income,Median income (excluding zeros),units,46300.0
645679,1993,Atlantic provinces,Females,45 to 54 years,Total income,Median income (excluding zeros),units,21400.0
645754,1993,Atlantic provinces,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,26400.0
645829,1993,Atlantic provinces,Males,55 to 64 years,Total income,Median income (excluding zeros),units,38100.0
645904,1993,Atlantic provinces,Females,55 to 64 years,Total income,Median income (excluding zeros),units,15400.0
645979,1993,Atlantic provinces,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,19100.0
646054,1993,Atlantic provinces,Males,65 years and over,Total income,Median income (excluding zeros),units,22200.0
646129,1993,Atlantic provinces,Females,65 years and over,Total income,Median income (excluding zeros),units,17500.0
646204,1993,Newfoundland and Labrador,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,21500.0
646279,1993,Newfoundland and Labrador,Males,16 years and over,Total income,Median income (excluding zeros),units,28700.0
646354,1993,Newfoundland and Labrador,Females,16 years and over,Total income,Median income (excluding zeros),units,17000.0
646429,1993,Newfoundland and Labrador,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,7800.0
646504,1993,Newfoundland and Labrador,Males,16 to 24 years,Total income,Median income (excluding zeros),units,8100.0
646579,1993,Newfoundland and Labrador,Females,16 to 24 years,Total income,Median income (excluding zeros),units,7200.0
646654,1993,Newfoundland and Labrador,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,28900.0
646729,1993,Newfoundland and Labrador,Males,25 to 54 years,Total income,Median income (excluding zeros),units,37000.0
646804,1993,Newfoundland and Labrador,Females,25 to 54 years,Total income,Median income (excluding zeros),units,21500.0
646879,1993,Newfoundland and Labrador,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,26800.0
646954,1993,Newfoundland and Labrador,Males,25 to 34 years,Total income,Median income (excluding zeros),units,32600.0
647029,1993,Newfoundland and Labrador,Females,25 to 34 years,Total income,Median income (excluding zeros),units,21300.0
647104,1993,Newfoundland and Labrador,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,31400.0
647179,1993,Newfoundland and Labrador,Males,35 to 44 years,Total income,Median income (excluding zeros),units,40200.0
647254,1993,Newfoundland and Labrador,Females,35 to 44 years,Total income,Median income (excluding zeros),units,23100.0
647329,1993,Newfoundland and Labrador,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,29800.0
647404,1993,Newfoundland and Labrador,Males,45 to 54 years,Total income,Median income (excluding zeros),units,40500.0
647479,1993,Newfoundland and Labrador,Females,45 to 54 years,Total income,Median income (excluding zeros),units,19200.0
647554,1993,Newfoundland and Labrador,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,22900.0
647629,1993,Newfoundland and Labrador,Males,55 to 64 years,Total income,Median income (excluding zeros),units,35600.0
647704,1993,Newfoundland and Labrador,Females,55 to 64 years,Total income,Median income (excluding zeros),units,13600.0
647779,1993,Newfoundland and Labrador,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,18100.0
647854,1993,Newfoundland and Labrador,Males,65 years and over,Total income,Median income (excluding zeros),units,20000.0
647929,1993,Newfoundland and Labrador,Females,65 years and over,Total income,Median income (excluding zeros),units,16800.0
648004,1993,Prince Edward Island,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,23400.0
648079,1993,Prince Edward Island,Males,16 years and over,Total income,Median income (excluding zeros),units,29200.0
648154,1993,Prince Edward Island,Females,16 years and over,Total income,Median income (excluding zeros),units,19600.0
648229,1993,Prince Edward Island,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,9700.0
648304,1993,Prince Edward Island,Males,16 to 24 years,Total income,Median income (excluding zeros),units,11200.0
648379,1993,Prince Edward Island,Females,16 to 24 years,Total income,Median income (excluding zeros),units,8700.0
648454,1993,Prince Edward Island,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,31700.0
648529,1993,Prince Edward Island,Males,25 to 54 years,Total income,Median income (excluding zeros),units,38100.0
