,REF_DATE,GEO,Sex,Age group,Income source,Statistics,SCALAR_FACTOR,VALUE
8854,1976,Nova Scotia,Males,65 years and over,Total income,Median income (excluding zeros),units,14800.0
8929,1976,Nova Scotia,Females,65 years and over,Total income,Median income (excluding zeros),units,12400.0
9004,1976,New Brunswick,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,25300.0
9079,1976,New Brunswick,Males,16 years and over,Total income,Median income (excluding zeros),units,37500.0
9154,1976,New Brunswick,Females,16 years and over,Total income,Median income (excluding zeros),units,12500.0
9229,1976,New Brunswick,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,12100.0
9304,1976,New Brunswick,Males,16 to 24 years,Total income,Median income (excluding zeros),units,19800.0
9379,1976,New Brunswick,Females,16 to 24 years,Total income,Median income (excluding zeros),units,8200.0
9454,1976,New Brunswick,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,36400.0
9529,1976,New Brunswick,Males,25 to 54 years,Total income,Median income (excluding zeros),units,48700.0
9604,1976,New Brunswick,Females,25 to 54 years,Total income,Median income (excluding zeros),units,20500.0
9679,1976,New Brunswick,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,36000.0
9754,1976,New Brunswick,Males,25 to 34 years,Total income,Median income (excluding zeros),units,47600.0
9829,1976,New Brunswick,Females,25 to 34 years,Total income,Median income (excluding zeros),units,21900.0
9904,1976,New Brunswick,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,37700.0
9979,1976,New Brunswick,Males,35 to 44 years,Total income,Median income (excluding zeros),units,57200.0
10054,1976,New Brunswick,Females,35 to 44 years,Total income,Median income (excluding zeros),units,19600.0
10129,1976,New Brunswick,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,35400.0
10204,1976,New Brunswick,Males,45 to 54 years,Total income,Median income (excluding zeros),units,45000.0
10279,1976,New Brunswick,Females,45 to 54 years,Total income,Median income (excluding zeros),units,19500.0
10354,1976,New Brunswick,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,28700.0
10429,1976,New Brunswick,Males,55 to 64 years,Total income,Median income (excluding zeros),units,38600.0
10504,1976,New Brunswick,Females,55 to 64 years,Total income,Median income (excluding zeros),units,13400.0
10579,1976,New Brunswick,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,12400.0
10654,1976,New Brunswick,Males,65 years and over,Total income,Median income (excluding zeros),units,14200.0
10729,1976,New Brunswick,Females,65 years and over,Total income,Median income (excluding zeros),units,11800.0
10804,1976,Quebec,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,30900.0
10879,1976,Quebec,Males,16 years and over,Total income,Median income (excluding zeros),units,43400.0
10954,1976,Quebec,Females,16 years and over,Total income,Median income (excluding zeros),units,17800.0
11029,1976,Quebec,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,17300.0
11104,1976,Quebec,Males,16 to 24 years,Total income,Median income (excluding zeros),units,19400.0
11179,1976,Quebec,Females,16 to 24 years,Total income,Median income (excluding zeros),units,16200.0
11254,1976,Quebec,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,43100.0
11329,1976,Quebec,Males,25 to 54 years,Total income,Median income (excluding zeros),units,55800.0
11404,1976,Quebec,Females,25 to 54 years,Total income,Median income (excluding zeros),units,25000.0
11479,1976,Quebec,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,41100.0
11554,1976,Quebec,Males,25 to 34 years,Total income,Median income (excluding zeros),units,51500.0
11629,1976,Quebec,Females,25 to 34 years,Total income,Median income (excluding zeros),units,28400.0
11704,1976,Quebec,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,47500.0
11779,1976,Quebec,Males,35 to 44 years,Total income,Median income (excluding zeros),units,61100.0
11854,1976,Quebec,Females,35 to 44 years,Total income,Median income (excluding zeros),units,22900.0
11929,1976,Quebec,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,42900.0
12004,1976,Quebec,Males,45 to 54 years,Total income,Median income (excluding zeros),units,56100.0
12079,1976,Quebec,Females,45 to 54 years,Total income,Median income (excluding zeros),units,21100.0
12154,1976,Quebec,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,34300.0
12229,1976,Quebec,Males,55 to 64 years,Total income,Median income (excluding zeros),units,47200.0
12304,1976,Quebec,Females,55 to 64 years,Total income,Median income (excluding zeros),units,14700.0
12379,1976,Quebec,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,12800.0
12454,1976,Quebec,Males,65 years and over,Total income,Median income (excluding zeros),units,17300.0
12529,1976,Quebec,Females,65 years and over,Total income,Median income (excluding zeros),units,11900.0
12604,1976,Ontario,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,33400.0
12679,1976,Ontario,Males,16 years and over,Total income,Median income (excluding zeros),units,51500.0
12754,1976,Ontario,Females,16 years and over,Total income,Median income (excluding zeros),units,17900.0
12829,1976,Ontario,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,15700.0
12904,1976,Ontario,Males,16 to 24 years,Total income,Median income (excluding zeros),units,19300.0
12979,1976,Ontario,Females,16 to 24 years,Total income,Median income (excluding zeros),units,12800.0
13054,1976,Ontario,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,49300.0
13129,1976,Ontario,Males,25 to 54 years,Total income,Median income (excluding zeros),units,64900.0
13204,1976,Ontario,Females,25 to 54 years,Total income,Median income (excluding zeros),units,25700.0
13279,1976,Ontario,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,47000.0
13354,1976,Ontario,Males,25 to 34 years,Total income,Median income (excluding zeros),units,60500.0
13429,1976,Ontario,Females,25 to 34 years,Total income,Median income (excluding zeros),units,28300.0
13504,1976,Ontario,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,51500.0
13579,1976,Ontario,Males,35 to 44 years,Total income,Median income (excluding zeros),units,70900.0
13654,1976,Ontario,Females,35 to 44 years,Total income,Median income (excluding zeros),units,26600.0
13729,1976,Ontario,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,49800.0
13804,1976,Ontario,Males,45 to 54 years,Total income,Median income (excluding zeros),units,66200.0
13879,1976,Ontario,Females,45 to 54 years,Total income,Median income (excluding zeros),units,22300.0
13954,1976,Ontario,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,38600.0
14029,1976,Ontario,Males,55 to 64 years,Total income,Median income (excluding zeros),units,50900.0
14104,1976,Ontario,Females,55 to 64 years,Total income,Median income (excluding zeros),units,17300.0
14179,1976,Ontario,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,14800.0
14254,1976,Ontario,Males,65 years and over,Total income,Median income (excluding zeros),units,22000.0
14329,1976,Ontario,Females,65 years and over,Total income,Median income (excluding zeros),units,12000.0
14404,1976,Prairie provinces,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,29400.0
14479,1976,Prairie provinces,Males,16 years and over,Total income,Median income (excluding zeros),units,46900.0
14554,1976,Prairie provinces,Females,16 years and over,Total income,Median income (excluding zeros),units,15500.0
14629,1976,Prairie provinces,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,17200.0
14704,1976,Prairie provinces,Males,16 to 24 years,Total income,Median income (excluding zeros),units,21400.0
14779,1976,Prairie provinces,Females,16 to 24 years,Total income,Median income (excluding zeros),units,13500.0
14854,1976,Prairie provinces,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,46700.0
