,Income,Location,Age,Sex,Year,count,percentage,cumulative_percent
86,225-250k,Canada,All age groups,Females,2016,20235.0,0.0014489277147255737,0.996299452221546
87,>250k,Canada,All age groups,Females,2016,51680.0,0.0037005477784540475,1.0
88,$100-<125k,Canada,0 to 24 years,Females,2016,1110.0,0.0007330845689000429,0.0007330845689000429
89,$125-<150k,Canada,0 to 24 years,Females,2016,1110.0,0.0007330845689000429,0.0014661691378000858
90,$150-<175k,Canada,0 to 24 years,Females,2016,210.0,0.0001386916751973054,0.0016048608129973913
91,$175-<200k,Canada,0 to 24 years,Females,2016,210.0,0.0001386916751973054,0.0017435524881946967
92,$200-225k,Canada,0 to 24 years,Females,2016,55.0,3.6324010170722845e-05,0.0017798764983654196
93,$25-<50k,Canada,0 to 24 years,Females,2016,244110.0,0.16121916586863916,0.16299904236700458
94,$50-<75k,Canada,0 to 24 years,Females,2016,33360.0,0.022032163259914805,0.18503120562691938
95,$75-<100k,Canada,0 to 24 years,Females,2016,6280.0,0.004147541524947991,0.18917874715186736
96,0-<25k,Canada,0 to 24 years,Females,2016,1227580.0,0.8107386982795628,0.9999174454314301
97,225-250k,Canada,0 to 24 years,Females,2016,55.0,3.6324010170722845e-05,0.9999537694416009
98,>250k,Canada,0 to 24 years,Females,2016,70.0,4.623055839910181e-05,1.0
99,$100-<125k,Canada,25 to 34 years,Females,2016,22965.0,0.009979489140542842,0.009979489140542842
100,$125-<150k,Canada,25 to 34 years,Females,2016,22965.0,0.009979489140542842,0.019958978281085685
101,$150-<175k,Canada,25 to 34 years,Females,2016,3730.0,0.0016208793596440149,0.0215798576407297
102,$175-<200k,Canada,25 to 34 years,Females,2016,3730.0,0.0016208793596440149,0.023200737000373714
103,$200-225k,Canada,25 to 34 years,Females,2016,1090.0,0.0004736617967860526,0.023674398797159768
104,$25-<50k,Canada,25 to 34 years,Females,2016,864300.0,0.3755833862038397,0.39925778500099945
105,$50-<75k,Canada,25 to 34 years,Females,2016,401870.0,0.17463345529762475,0.5738912402986243
106,$75-<100k,Canada,25 to 34 years,Females,2016,135740.0,0.05898610302361356,0.6328773433222378
107,0-<25k,Canada,25 to 34 years,Females,2016,841920.0,0.3658581100459756,0.9987354533682133
108,225-250k,Canada,25 to 34 years,Females,2016,1090.0,0.0004736617967860526,0.9992091151649994
109,>250k,Canada,25 to 34 years,Females,2016,1820.0,0.000790884835000565,1.0
110,$100-<125k,Canada,35 to 44 years,Females,2016,61940.0,0.02691194744479879,0.02691194744479879
111,$125-<150k,Canada,35 to 44 years,Females,2016,61940.0,0.02691194744479879,0.05382389488959758
112,$150-<175k,Canada,35 to 44 years,Females,2016,12270.0,0.005331120360795628,0.05915501525039321
113,$175-<200k,Canada,35 to 44 years,Females,2016,12270.0,0.005331120360795628,0.06448613561118884
114,$200-225k,Canada,35 to 44 years,Females,2016,4435.0,0.0019269371475247438,0.06641307275871358
115,$25-<50k,Canada,35 to 44 years,Females,2016,739550.0,0.3213227435066346,0.38773581626534814
116,$50-<75k,Canada,35 to 44 years,Females,2016,459940.0,0.19983663396449394,0.5875724502298421
117,$75-<100k,Canada,35 to 44 years,Females,2016,258310.0,0.11223159742437804,0.6998040476542201
118,0-<25k,Canada,35 to 44 years,Females,2016,677400.0,0.2943195543930691,0.9941236020472892
119,225-250k,Canada,35 to 44 years,Females,2016,4435.0,0.0019269371475247438,0.996050539194814
120,>250k,Canada,35 to 44 years,Females,2016,9090.0,0.003949460805186003,1.0
121,$100-<125k,Canada,45 to 54 years,Females,2016,75010.0,0.03179049887476637,0.03179049887476637
122,$125-<150k,Canada,45 to 54 years,Females,2016,75010.0,0.03179049887476637,0.06358099774953274
123,$150-<175k,Canada,45 to 54 years,Females,2016,17245.0,0.007308720878487483,0.07088971862802022
124,$175-<200k,Canada,45 to 54 years,Females,2016,17245.0,0.007308720878487483,0.0781984395065077
125,$200-225k,Canada,45 to 54 years,Females,2016,6410.0,0.002716665748396913,0.08091510525490461
126,$25-<50k,Canada,45 to 54 years,Females,2016,727360.0,0.3082673945014007,0.38918249975630537
127,$50-<75k,Canada,45 to 54 years,Females,2016,438000.0,0.18563176252696534,0.5748142622832707
128,$75-<100k,Canada,45 to 54 years,Females,2016,260920.0,0.11058228191446529,0.685396544197736
129,0-<25k,Canada,45 to 54 years,Females,2016,719420.0,0.3049022890345877,0.9902988332323237
130,225-250k,Canada,45 to 54 years,Females,2016,6410.0,0.002716665748396913,0.9930154989807206
131,>250k,Canada,45 to 54 years,Females,2016,16480.0,0.006984501019279427,1.0
132,$100-<125k,Canada,55 to 64 years,Females,2016,51965.0,0.02257355464524789,0.02257355464524789
133,$125-<150k,Canada,55 to 64 years,Females,2016,51965.0,0.02257355464524789,0.04514710929049578
134,$150-<175k,Canada,55 to 64 years,Females,2016,12995.0,0.00564501765832765,0.05079212694882343
135,$175-<200k,Canada,55 to 64 years,Females,2016,12995.0,0.00564501765832765,0.05643714460715108
136,$200-225k,Canada,55 to 64 years,Females,2016,4940.0,0.00214593206865245,0.05858307667580353
137,$25-<50k,Canada,55 to 64 years,Females,2016,701110.0,0.3045616260431011,0.36314470271890464
138,$50-<75k,Canada,55 to 64 years,Females,2016,371870.0,0.16154003205866127,0.5246847347775659
139,$75-<100k,Canada,55 to 64 years,Females,2016,171190.0,0.07436479976368683,0.5990495345412528
140,0-<25k,Canada,55 to 64 years,Females,2016,905040.0,0.3931486557516627,0.9921981902929154
141,225-250k,Canada,55 to 64 years,Females,2016,4940.0,0.00214593206865245,0.9943441223615679
142,>250k,Canada,55 to 64 years,Females,2016,13020.0,0.005655877638432167,1.0
143,$100-<125k,Canada,65 years and over,Females,2016,25990.0,0.008154979118358587,0.008154979118358587
144,$125-<150k,Canada,65 years and over,Females,2016,25990.0,0.008154979118358587,0.016309958236717173
145,$150-<175k,Canada,65 years and over,Females,2016,7710.0,0.0024191954214138017,0.018729153658130975
146,$175-<200k,Canada,65 years and over,Females,2016,7710.0,0.0024191954214138017,0.021148349079544777
147,$200-225k,Canada,65 years and over,Females,2016,3315.0,0.00104015989909037,0.022188508978635148
148,$25-<50k,Canada,65 years and over,Females,2016,956460.0,0.30011201721990205,0.3223005261985372
149,$50-<75k,Canada,65 years and over,Females,2016,311760.0,0.09782209657327715,0.42012262277181434
150,$75-<100k,Canada,65 years and over,Females,2016,92850.0,0.02913389038628683,0.44925651315810117
151,0-<25k,Canada,65 years and over,Females,2016,1740710.0,0.5461890612203916,0.9954455743784927
152,225-250k,Canada,65 years and over,Females,2016,3315.0,0.00104015989909037,0.996485734277583
153,>250k,Canada,65 years and over,Females,2016,11200.0,0.003514265722416936,1.0
154,$100-<125k,"Halifax, Nova Scotia",All age groups,Males,2016,5380.0,0.037077877325982084,0.037077877325982084
155,$125-<150k,"Halifax, Nova Scotia",All age groups,Males,2016,5380.0,0.037077877325982084,0.07415575465196417
156,$150-<175k,"Halifax, Nova Scotia",All age groups,Males,2016,1460.0,0.010062026188835286,0.08421778084079945
157,$175-<200k,"Halifax, Nova Scotia",All age groups,Males,2016,1460.0,0.010062026188835286,0.09427980702963473
158,$200-225k,"Halifax, Nova Scotia",All age groups,Males,2016,540.0,0.0037215713301171605,0.0980013783597519
159,$25-<50k,"Halifax, Nova Scotia",All age groups,Males,2016,38920.0,0.26822880771881463,0.3662301860785665
160,$50-<75k,"Halifax, Nova Scotia",All age groups,Males,2016,29480.0,0.20317022742935906,0.5694004135079256
161,$75-<100k,"Halifax, Nova Scotia",All age groups,Males,2016,17720.0,0.12212267401791868,0.6915230875258442
162,0-<25k,"Halifax, Nova Scotia",All age groups,Males,2016,42690.0,0.29421088904203996,0.9857339765678842
163,225-250k,"Halifax, Nova Scotia",All age groups,Males,2016,540.0,0.0037215713301171605,0.9894555478980014
164,>250k,"Halifax, Nova Scotia",All age groups,Males,2016,1530.0,0.010544452101998622,1.0
165,$100-<125k,"Halifax, Nova Scotia",0 to 24 years,Males,2016,,,
166,$125-<150k,"Halifax, Nova Scotia",0 to 24 years,Males,2016,,,
167,$150-<175k,"Halifax, Nova Scotia",0 to 24 years,Males,2016,,,
168,$175-<200k,"Halifax, Nova Scotia",0 to 24 years,Males,2016,,,
169,$200-225k,"Halifax, Nova Scotia",0 to 24 years,Males,2016,,,
170,$25-<50k,"Halifax, Nova Scotia",0 to 24 years,Males,2016,3380.0,,
171,$50-<75k,"Halifax, Nova Scotia",0 to 24 years,Males,2016,700.0,,
172,$75-<100k,"Halifax, Nova Scotia",0 to 24 years,Males,2016,110.0,,
173,0-<25k,"Halifax, Nova Scotia",0 to 24 years,Males,2016,12690.0,,
174,225-250k,"Halifax, Nova Scotia",0 to 24 years,Males,2016,,,
175,>250k,"Halifax, Nova Scotia",0 to 24 years,Males,2016,0.0,,
176,$100-<125k,"Halifax, Nova Scotia",25 to 34 years,Males,2016,435.0,0.016750096264921063,0.016750096264921063
177,$125-<150k,"Halifax, Nova Scotia",25 to 34 years,Males,2016,435.0,0.016750096264921063,0.03350019252984213
178,$150-<175k,"Halifax, Nova Scotia",25 to 34 years,Males,2016,75.0,0.002887947631882942,0.03638814016172507
179,$175-<200k,"Halifax, Nova Scotia",25 to 34 years,Males,2016,75.0,0.002887947631882942,0.039276087793608014
180,$200-225k,"Halifax, Nova Scotia",25 to 34 years,Males,2016,25.0,0.0009626492106276473,0.040238737004235664
181,$25-<50k,"Halifax, Nova Scotia",25 to 34 years,Males,2016,8350.0,0.3215248363496342,0.3617635733538699
182,$50-<75k,"Halifax, Nova Scotia",25 to 34 years,Males,2016,5780.0,0.22256449749711205,0.5843280708509819
183,$75-<100k,"Halifax, Nova Scotia",25 to 34 years,Males,2016,2890.0,0.11128224874855602,0.695610319599538
184,0-<25k,"Halifax, Nova Scotia",25 to 34 years,Males,2016,7850.0,0.30227185213708124,0.9978821717366193
185,225-250k,"Halifax, Nova Scotia",25 to 34 years,Males,2016,25.0,0.0009626492106276473,0.9988448209472469
186,>250k,"Halifax, Nova Scotia",25 to 34 years,Males,2016,30.0,0.0011551790527531767,1.0
187,$100-<125k,"Halifax, Nova Scotia",35 to 44 years,Males,2016,1275.0,0.05423224159931944,0.05423224159931944
188,$125-<150k,"Halifax, Nova Scotia",35 to 44 years,Males,2016,1275.0,0.05423224159931944,0.10846448319863888
189,$150-<175k,"Halifax, Nova Scotia",35 to 44 years,Males,2016,250.0,0.010633772862611655,0.11909825606125055
190,$175-<200k,"Halifax, Nova Scotia",35 to 44 years,Males,2016,250.0,0.010633772862611655,0.1297320289238622
191,$200-225k,"Halifax, Nova Scotia",35 to 44 years,Males,2016,105.0,0.004466184602296895,0.1341982135261591
192,$25-<50k,"Halifax, Nova Scotia",35 to 44 years,Males,2016,5520.0,0.23479370480646533,0.36899191833262446
193,$50-<75k,"Halifax, Nova Scotia",35 to 44 years,Males,2016,5580.0,0.23734581029349214,0.6063377286261166
194,$75-<100k,"Halifax, Nova Scotia",35 to 44 years,Males,2016,4530.0,0.19268396427052317,0.7990216928966397
195,0-<25k,"Halifax, Nova Scotia",35 to 44 years,Males,2016,4380.0,0.1863037005529562,0.9853253934495959
196,225-250k,"Halifax, Nova Scotia",35 to 44 years,Males,2016,105.0,0.004466184602296895,0.9897915780518928
197,>250k,"Halifax, Nova Scotia",35 to 44 years,Males,2016,240.0,0.010208421948107189,1.0
198,$100-<125k,"Halifax, Nova Scotia",45 to 54 years,Males,2016,1750.0,0.06756756756756757,0.06756756756756757
199,$125-<150k,"Halifax, Nova Scotia",45 to 54 years,Males,2016,1750.0,0.06756756756756757,0.13513513513513514
200,$150-<175k,"Halifax, Nova Scotia",45 to 54 years,Males,2016,460.0,0.01776061776061776,0.1528957528957529
201,$175-<200k,"Halifax, Nova Scotia",45 to 54 years,Males,2016,460.0,0.01776061776061776,0.17065637065637068
202,$200-225k,"Halifax, Nova Scotia",45 to 54 years,Males,2016,175.0,0.006756756756756757,0.17741312741312742
203,$25-<50k,"Halifax, Nova Scotia",45 to 54 years,Males,2016,5550.0,0.21428571428571427,0.3916988416988417
